Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,Plam Check,1992 Barbara Dr,,,,09000-02718,Permit: #12000-00226,INSTALL RESIDENTIAL EV CHARGER IN THE GARAGE,
palo alto,— Permit,3421 Hillview Av,Mar 28 2014,Permit Issued,Permit Issued,12000-00431,Permit: #14REV-00179,14-636 VMWARE: HT-A DEFERRED SUBMITTAL FOR GLASS WALL.,
palo alto,— Permit,300 Lowell Av,Jul 15 2013,Permit Issued,Permit Issued,13REV-00442,Permit: #13REV-00442,13-2491: REVISION INCLUDES NEW DECK AND ABOVE GROUND SPA ON DEDICATED CIRCUIT.,
palo alto,— Inspection,811 Channing Av,Nov 30 2015,Permit Issued,Approved,15000-02895,Res Elect/Plbg/Mech only,INSTALL (1) LEVEL 2 ELECTRIC VEHICLE CHARGING EQUIPMENT ON SIDE YARD,
palo alto,— Inspection,390 Palo Alto Av,Apr 21 2016,Permit Issued,Approved,15000-02708,Res Elect/Plbg/Mech only,INSTALL ROOFTOP PHOTOVOLTAIC SYSTEM 5.355KW ON 21 PANELS,
palo alto,Plam Check,262 Kingsley Av,,Approved,,15000-01562,Revision,15-1662: FIELD CLARIFICATION STRUCTURAL AND EJECTOR PUMP HOUSING.,
palo alto,— Permit,3650 La Calle,Oct 17 2012,Permit Issued,Permit Issued,12000-00423,Permit: #12REV-00580,12-423: REPLACING FOUNDATION SLAB (AT DINING ROOM),
palo alto,— Inspection,757 Greer Rd,Jun 9 2016,Finaled,Approved,16000-00737,Web-Furnace Replacement,Replacing existing furnace with high efficiency unit.,
palo alto,— Permit,2791 Cowper St,Nov 1 2013,Permit Issued,Permit Issued,12000-02039,Permit: #13000-02784,RESIDENTIAL PV INSTALLATION. 8 ROOFTOP MOUNTED 2kW SOLAR MODULES.,
palo alto,— Inspection,963 Van Auken Ci,Feb 28 2012,Permit Issued,Approved,12000-00429,Permit: #12000-00429,REPLACE 100 AMP SERVICE PANEL IN THE SAME LOCATION,
palo alto,— Inspection,1145 Lincoln Av,Feb 28 2012,Permit Issued,Approved,12000-00428,Permit: #12000-00428,GAS LEAK REPAIR RUN NEW GAS LINE TO BASEMENT FOR BOILER AND WATER HEATER.,
palo alto,— Inspection,777 San Antonio Av Unit 15,Mar 29 2012,Permit Issued,Approved,12000-00425,Permit: #12000-00425,INSTALL RECESSED LIGHTING IN LIVING ROOM AND BEDOOM AREA.,
palo alto,— Inspection,723 San Jude Av,May 3 2012,Permit Issued,Approved,12000-00777,Permit: #12000-00777,CHIMNEY REPLACEMENT TEAR (E) CHIMNEY DOWN TO THE FIREBOX AND REBUILD.,
palo alto,— Inspection,659 Colorado Av,Jun 27 2016,Permit Issued,Not approved; corrections required,16000-01496,Res Elect/Plbg/Mech only,REPLACE TANK WATER HEATER IN SAME LOCATION,
palo alto,— Permit,420 Guinda St,Apr 26 2012,Permit Issued,Permit Issued,11000-02237,Permit: #12REV-00229,(REF #11-2237) CHANGE INTERIOR CEILING OF LIVING ROOM DINING ROOM AND BEDROOM 1 FROM FLAT TO VAULTED. RECONFIGURE INTERIOR LAYOUT OF FIRST FLOOR BATHROOM POWDER ROOM BEDROOM 1 CLOSET AND HALLWAY. REDUCE BEDROOM 2 SIZE BY 3" TO ACCOMODATE VAULTED CEILING BELOW. CHANGE KITCHEN APPLIANCE LAYOUT.,
palo alto,— Inspection,245 Ramona St,Nov 5 2014,Permit Issued,Approved,14000-02424,Res Elect/Plbg/Mech only,RESIDENTIAL SEWER REPLACEMENT: 30-FEET PIPEBURST ADD NEW HOUSE CLEANOUT. NO WORK IN THE PUBLIC RIGHT OF WAY.,
palo alto,— Inspection,1800 Waverley St,Jan 5 2016,Permit Issued,Approved,15000-03143,Res Remodel/Repair,BATHROOM REMODEL 48SF,
palo alto,— Inspection,1479 Hamilton Av,Jan 9 2013,Permit Issued,Approved,12000-02720,Permit: #13000-00042,TEMP POWER POLE,
palo alto,— Inspection,2141 Princeton St,Oct 16 2013,Permit Issued,Not approved; work not finished,13000-02346,Permit: #13000-02346,Top 2-story only. Tear off old compo roof replace any dry rot. Install new composition roof.,
palo alto,— Inspection,2139 Wellesley St,Sep 21 2015,Permit Issued,Approved,15000-02471,Res Elect/Plbg/Mech only,RESIDENTIAL RED TAG GAS LEAK REPAIR,
palo alto,— Inspection,3715 Starr King Cir,Nov 6 2013,Permit Issued,Approved,13000-02698,Permit: #13000-02698,RESIDENTIAL REROOF - TEAR OFF TAR AND GRAVEL. NO RESHEET. INSTALL 4-PLY JOHNS MANSVILLE 78# KOOL ROOF THERMAL WHITE GLASKAP MEMBRANE. 25 SQUARES. CLASS A.,
palo alto,— Inspection,4180 Park Bl,Apr 22 2015,Permit Issued,Approved,14000-01196,Res Remodel/Repair,REMODEL ONE BATH: LIKE FOR LIKE NO STRUCTURAL WORK. NO ELECTRICAL NO NEW VENT FAN,
palo alto,— Permit,3120 Hansen Wy Bldg 4,Jun 19 2013,Permit Issued,Permit Issued,13000-00482,Permit: #13REV-00391,13-482: ADDITION OF 4 FOOTINGS TO SUPPORT MEZZANINE MODIFICATIONS TO 2 (E) FOOTINGS REDUCED FOOTPRINT OF MEZZANINE MINOR ACCESSIBILITY UPGRADES; NO EXTERIOR CHANGES,
palo alto,Plam Check,2906 Cowper St,Nov 25 2015,Permit Issued,Approved,15000-01983,Res Addition & Remodel,15-1983: REVISED FOUNDATION DESIGN.,
palo alto,— Permit,855 Ilima Ct,Jan 2 2013,Void,Permit Issued,13000-00035,Permit: #13000-00035,3/23/13: permit cancelled by contractor - refund requested. WINDOW RETROFIT - REPLACE 3 WINDOWS LIKE FOR LIKE,
palo alto,— Inspection,832 Homer Av,Jan 8 2013,Permit Issued,Approved,13000-00033,Permit: #13000-00033,RESIDENTIAL SEWER LINE REPLACEMENT PIPEBURST METHOD NOT PAST CITY C/O,
palo alto,— Inspection,465 Fernando Av,Jan 10 2013,Permit Issued,Approved,13000-00031,Permit: #13000-00031,EMERGENCY REPLACEMENT OF ELECTRIC PANEL. SAME LOCATION,
palo alto,Plam Check,390 Margarita Av,Jul 14 2015,Permit Issued,Approved,14000-03097,Revision,14000-03097: REVISE DOWNSPOUT LOCATIONS,
palo alto,— Permit,467 Everett Av,Oct 20 2014,Permit Issued,Permit Issued,13000-03278,Revision,13000-03274: STRUCTURAL CHANGES TO (4) PIERS AT FRONT PORCH,
palo alto,— Inspection,209 Addison Av,Jan 4 2013,Permit Issued,Rescheduled,13000-00028,Permit: #13000-00028,REPLACE DAMAGED 100 AMP PANEL SAME LOCATION.,
palo alto,— Permit,4134 Sutherland Dr,Jan 14 2013,Permit Issued,Permit Issued,13000-00046,Permit: #13REV-00013,13-00046: REVISION INCLUDES DEMO WALL HEATER AND NEW ATTIC FURNACE WITH ASSOCIATED ELECTRICAL MECHANICAL AND PLUMBING.,
palo alto,— Permit,3407 South Ct,Dec 3 2013,Permit Issued,Permit Issued,13000-03156,Permit: #13000-03156,REMOVE AND REPLACE EXISTING WALL FURNACE IN SAME LOCATION (HALLWAY),
palo alto,— Inspection,3796 Corina Wy,Feb 5 2013,Permit Issued,Approved,13000-00044,Permit: #13000-00271,ELECTRIC METER UPGRADE FROM 100 AMP TO 200 AMP IN EXISTING LOCATION OVERHEAD SERVICE,
palo alto,— Inspection,100 El Carmelo Av,Jan 18 2013,Permit Issued,Approved,13000-00043,Permit: #13000-00043,GAS LINE REPAIR AT LAUNDRY OF APARTMENT BUILDING.,
palo alto,— Inspection,2125 Wellesley St,Jun 26 2015,Permit Issued,Approved,14000-02173,Res Elect/Plbg/Mech only,GAS LINE REPAIR. GAS LEAK IS LOCATED ON UNDERGROUND LINE OUTSIDE OF HOUSE AFTER THE METER.,
palo alto,— Inspection,1893 Edgewood Dr,Jul 17 2013,Permit Issued,Rescheduled,13000-00039,Permit: #13000-00039,RESIDENTIAL REMODEL (149 SF): REMODEL BATHROOM ADD HALL TO BACKYARD BY REDUCING SIZE OF BEDROOM NEW WINDOWS AND FRONT DOOR IN FRONT OF HOUSE.,
palo alto,— Intake,3103 David Av,Jun 4 2014,Permit Issued,Plan check required,13000-00037,Res New Single Family,13000-00037: ADD BBQ COUNTER IN BACKYARD NO ELECTRICAL OR GASLINE EXTENTIONS NO SINK,
palo alto,— Inspection,247 Hamilton Av,Nov 30 2010,Permit Issued,Approved,10000-02423,Permit: #10000-02423,INSTALL NEW 1" BACKFLOW DEVICE ON PRIVATE PROPERTY,
palo alto,— Permit,2468 Chabot Tr,Oct 19 2010,Permit Issued,Permit Issued,10000-00698,Permit: #10REV-00364,10-698: REVISION TO CHANGE THE OPENING BETWEEN THE FAMILY ROOM FROM HAVING TWO (2) 6'6" OPENINGS TO A SINGLE 6' WIDE OPENING. CHANGE THE LOCATION OF THE DOOR TO THE POWDER AND LAUNDRY ROOM. THE WINDOW AT BEDROOM # 2 WAS SHOWN ON THE (E) ELEVATION PLAN BUT NOT ON THE FLOOR PLAN SECOND FLOOR WAS REVISED TO SHOW THIS WINDOW,
palo alto,— Inspection,896 Fielding Dr,Apr 5 2010,Permit Issued,Approved,10000-00686,Permit: #10000-00686,TEMP POWER,
palo alto,— Permit,360 Everett Av Unit 1 C,Jul 8 2010,Permit Issued,Permit Issued,10000-00676,Permit: #10REV-00204,10-676; CHANGE LAYOUT OF EXISTING MASTER CLOSET. NEW DOOR FROM MASTER BEDROOM INTO DRESSING AREA/BATHROOM.,
palo alto,— Inspection,101 Alma St Unit 807,Nov 16 2010,Permit Issued,Approved,10000-02885,Permit: #10000-02885,REPLACE ONE PLUMBING FIXTURE LIKE FOR LIKE.,
palo alto,— Permit,1370 Pitman Av,Jul 26 2010,Permit Issued,Permit Issued,10000-00693,Permit: #10REV-00256,10-693: FRONT ELEVATION CHANGE FROM STRONG WALL TO CONVENTIONAL SHEAR WALL DUE TO HEIGHT RESTRICTIONS. OCTAGON WINDOW DETAILS ADDED TO MATCH THE APPROVED ARCHITECTURAL PLANS,
palo alto,— Inspection,346 Iris Wy,Apr 21 2010,Permit Issued,Approved,10000-00677,Permit: #10000-00677,REPLACE EXISTING WATER HEATER WITH NEW 40 GALLON UNIT.,
palo alto,— Inspection,840 Ames Av,Jul 13 2012,Permit Issued,Cancelled,10000-00675,Permit: #10000-00675,INSTALL PHOTOVOLTAIC SYSTEM; 15 PANELS,
palo alto,— Inspection,615 Wellsbury Wy,Apr 8 2010,Permit Issued,Approved,10000-00674,Permit: #10000-00674,REPLACE FURNACE IN SAME LOCATION,
palo alto,— Inspection,846 Chimalus Dr,Apr 7 2010,Permit Issued,Approved,10000-00673,Permit: #10000-00673,INSTALL A NEW TANKLESS WATER HEATER 199.00 BTU OUTSIDE WALL DEDICATED LINE.,
palo alto,— Inspection,1141 Lincoln Av,Mar 25 2014,Permit Issued,Scheduled,14000-00692,Permit: #14000-00692,GAS LEAK REPAIR,
palo alto,— Inspection,3232 Clifton Ct,Apr 13 2010,Permit Issued,Approved,10000-00697,Permit: #10000-00697,REPLACE WATER HEATER IN SAME LOCATION,
palo alto,— Inspection,351 Chestnut Av,Apr 7 2010,Permit Issued,Approved,10000-00696,Permit: #10000-00696,INSTALL NEW GAS LINE TO REPLACE DAMAGED LINE DUE TO COROSIAN,
palo alto,— Inspection,3903 Middlefield Rd Unit D,Apr 22 2010,Permit Issued,Approved,10000-00695,Permit: #10000-00695,INSTALL NEW WASHER AND DRYER IN EXISTING CLOSET AND ASSOCIATED PLUMBING ELECTRICAL MECHANICAL. "IT IS ASSUMED THAT THIS IS A TYPE FIVE ONE HOUR CONSTRUCTION",
palo alto,— Inspection,525 University Av Floor A70,Jun 8 2010,Permit Issued,Investigation,10000-00690,Permit: #10000-00690,INTERIOR NON STRUCTURAL DEMO ~2100 FT^2.,
palo alto,— Inspection,1123 Stanford Ave,Apr 14 2010,,Approved,10000-00703,Permit: #10000-00703,Tear off existing roof to original sheathing. Install 1/2" OSB follow with 30 lb. felt and ELK/GAF 50 year composition shingles.,
palo alto,— Inspection,855 El Camino Real Suite 60,Jan 20 2011,Permit Issued,Approved,10000-02144,Permit: #10000-02144,OUTDOOR PATIO IMPROVEMENTS INCLUDING TRELLIS FIXED LIGHTING & HEATING (EXIST TENANT 'HOWIE'S PIZZA),
palo alto,— Inspection,450 Marion Av,Apr 13 2016,Permit Issued,Approved,16000-00732,Re-roofing,RESEDENTIAL REROOF (28 SQUARES). REMOVE EXISTING TILE. INSTALL NEW 1/2 CDX SHEATHING NEW LIFE TIME COMP. SHINGLES.,
palo alto,Plam Check,2950 Ramona St,Jun 11 2009,,Approved,09REV-00222,Permit: #09REV-00222,08-3135/3136: TRUSS CALCULATIONS FOR GARAGE AND ADD FB-11 AND 1.75X11.88 LVL BEAMS IN SINGLE FAMILY RESIDENCE.,
palo alto,Plam Check,301 Barclay Ct,May 5 2016,Permit Issued,Plan check not required,16000-00064,Res Elect/Plbg/Mech only,TEMP POWER,
palo alto,— Inspection,550 Hamilton Av,Jul 28 2015,Permit Issued,Approved,14000-01312,Use & Occupancy only,MACHINE ZONE INC. U & O ONLY SUITES 150 AND 220,
palo alto,— Inspection,702 Barron Av,Apr 20 2009,,Approved,09000-00660,Permit: #09000-00660,RE-ROOF: TEAR-OFF EXISTING BUILT-UP ROOFING TO SHEATHING REPLACE w/SAME LIKE FOR LIKE ON PARTIAL LOWER LEVEL (90-SF),
palo alto,— Inspection,3743 Redwood Cir,Jun 18 2009,,Approved,09000-00659,Permit: #09000-00659,REMOVE AND REPLACE SLIDING GLASS DOOR AND TRANSOME AT LIVING ROOM.,
palo alto,— Intake,1357 Pitman Av,Aug 25 2009,Submitted - PC Required,Plan check required,09000-01778,Permit: #09000-01778,INSTALL 2-PANEL SOLAR WATER HEATER SYSTEM.,
palo alto,— Inspection,4168 Maybell Way,Apr 15 2009,,Approved,09000-00655,Permit: #09000-00655,Tear off existing roof to original sheathing. Install OSB over roof deck. Follow with titanium UDL underlayment and ELK/GAF 40 year composition shingles.,
palo alto,Plam Check,3270 W Bayshore Rd Bldg 26,Jun 3 2009,,Approved,09REV-00139,Permit: #09REV-00139,07-638: ARCHT CHANGES MEMO ATTACHED (DELTA 789&10) AFFECTING DET SINGLE FAMILY HOMES PLANS 89 & 10 - (MOSTLY WINDOW CHANGES).,
palo alto,— Inspection,4173 El Camino Real Unit 34,Apr 10 2009,,Approved,09000-00665,Permit: #09000-00665,REPLACE EXISTING FURNACE IN GARAGE w/NEW TRANE (100000 BTUs) TIE INTO EXISTING DUCT WORK,
palo alto,— Inspection,1089 Tanland Dr Unit 102,Apr 27 2009,,Approved,09000-00663,Permit: #09000-00663,REMODEL KITCHEN AND BATH NEW CLOSET FOR WASH/DRY NEW SUBPANEL,
palo alto,— Inspection,956 N California Av,Jun 30 2009,,Approved,09000-00667,Permit: #09000-00667,Sweep gravel clean debris off roof; Spray applied foam & coatings,
palo alto,— Inspection,931 Commercial St,May 13 2014,,Approved,09000-00675,Permit: #09000-00675,U&O ONLY FOR NEW TENANT "BG SYSTEMS INC." 2500 SF.,
palo alto,— Inspection,787 Los Robles Av,Apr 24 2009,,Approved,09000-00674,Permit: #09000-00674,INSTALL NEW HOUSE MAIN CLEAN-OUT.,
palo alto,Plam Check,300 Pasteur Dr,Dec 16 2015,Permit Issued,Approved,12000-02715,Revision,12000-02715: DEFERRED APPROVAL FOR INTERIOR FRAMING,
palo alto,— Inspection,4264 Wilkie Wy,Jul 23 2013,Permit Issued,Approved,13000-00977,Permit: #13000-00977,ADD NEW CASEMENT WINDOW TO SECOND FLOOR (MASTER BDRM) AND MINOR ELECTRICAL WORK AT MASTER BATH/BDRM,
palo alto,— Permit,786 Moreno Av,Apr 24 2012,Permit Issued,Permit Issued,12REV-00225,Permit: #12REV-00225,11-308; REVISE KITCHEN LAYOUT,
palo alto,— Inspection,850 Hansen Way,Mar 14 2011,Permit Issued,Approved,11000-00620,Permit: #11000-00620,Backflow Device Installation,
palo alto,— Inspection,2534 Webster St,Apr 17 2012,Permit Issued,Approved,11000-00640,Permit: #11000-00640,RESIDENTIAL ADDITION AND REMODEL ~ 390 SF AND 1500SF RESPECTIVELY. INCLUDES REROOF COMPOSITION 50 YEAR CLASS"A". NEW EXTERIOR FIBER-CEMENT PANELING AT PERIMETER OF HOUSE REQUIRES (E) ELETRIC PANEL TO BE REMOVED AND REPLACED IN THE SAME LOCATION,
palo alto,— Inspection,1415 Hamilton Av,Mar 15 2011,Permit Issued,Cancelled,11000-00639,Permit: #11000-00639,SEWER LINE REPAIR -45 FEET TRENCHED,
palo alto,— Inspection,3169 Stelling Dr,Mar 18 2011,Permit Issued,Approved,11000-00638,Permit: #11000-00638,INSTALL NEW WALK IN BATHTUB,
palo alto,— Inspection,2723 Middlefield Rd,Aug 1 2013,Permit Issued,Approved,13000-01947,Permit: #13000-01947,TEAR OFF GRAVEL ROOF INSTALL FIRESTONE SINGLE PLY OVER 1/4" DENSDECK APPROX 4 SQUARES OVER FLAT ROOF AREA OVERHANG,
palo alto,— Inspection,3000 El Camino Real Suite 100,Jul 21 2011,Permit Issued,Approved,11000-00635,Permit: #11000-01884,U&O FOR "AUTOLAND INC" CREDIT UNION AUTO BROKER,
palo alto,— Inspection,3712 Redwood Ci,Apr 15 2011,Permit Issued,Approved,11000-00634,Permit: #11000-00634,KITCHEN REMODEL (149 SF),
palo alto,— Inspection,743 Los Robles Av,Sep 7 2011,Permit Issued,Approved,10000-03334,Permit: #11000-00630,INSTALL WATER HEATING SYSTEM. **SOLAR HOT WATER HEATER-AR 3/24/11**,
palo alto,— Inspection,706 Cowper St,Jun 17 2011,Permit Issued,Approved,11000-00629,Permit: #11000-00629,INSTALL BACKFLOW DEVICE ON PRIVATE PROPERTY,
palo alto,— Permit,1850 Embarcadero Rd,Nov 3 2014,Permit Issued,Permit Issued,14000-00989,Revision,14000-00987: RELOCATION OF HEAT COIL,
palo alto,— Inspection,174 Heather Ln,May 18 2011,Permit Issued,Approved,11000-00624,Permit: #11000-01139,TEMPORARY ELECTRIC POWER FOR CONSTRUCTION,
palo alto,— Inspection,3500 Deer Creek Rd Bldg 26 U,Sep 24 2013,Permit Issued,Approved,11000-00627,Permit: #11000-00627,BUILDING 26 UPPER REMODEL OF MEZZANINE AND STRUCTURAL REINFORCEMENT.,
palo alto,— Inspection,2670 Cowper St,Apr 1 2011,Permit Issued,Approved,11000-00631,Permit: #11000-00631,REROOF 1ST FLOOR - LIVING AREA ONLY (EXCLUDING GARAGE) - TEAR OFF EXISTING FOAM ROOF. NO RESHEET. INSTALL 4 PLY TAR AND GRAVEL. CLASS A. 7 SQUARES.,
palo alto,— Inspection,3000 El Camino Real Suite 130,Aug 9 2011,Permit Issued,Rescheduled,11000-01763,Permit: #11000-01763,MAJOR LINDSEY & AFRICA: BUILDING 4 SUITE 130. U&O ONLY FOR A 1423 SF TENANT SPACE IN A ONE STORY BUILDING **U&O SENT 8/9/11**,
palo alto,— Inspection,70 Kirby Pl,Oct 2 2014,Permit Issued,Approved,13000-00074,Permit: #14000-00360,NEW FREESTANDING SELF-CONTAINED SPA & FIREPIT. EXTEND GASLINE TO FIREPIT AND EXTEND ELECTRICAL TO NEW SPA LOCATION. NEW LANDSCAPE LIGHTING (ALL LOW-VOLTAGE),
palo alto,— Inspection,2410 Ramona St,Oct 6 2015,Finaled,Approved,15000-02532,Res Elect/Plbg/Mech only,RESIDENTIAL INSTALL LEVEL 2 EVSE OUTSIDE OF HOUSE,
palo alto,— Inspection,317 Tennyson Av,Nov 30 2012,Permit Issued,Approved,12000-01015,Permit: #12000-01015,REMODEL OF REAR WALL OF RESIDENCE (REMOVE FRENCH DOORS AND ADD WINDOWS). NEW BACK PORCH AND NEW EXTERIOR SPIRAL STAIRCASE TO THE ROOF DECK,
palo alto,— Permit,3400 Kenneth Dr,May 7 2012,Permit Issued,Permit Issued,12REV-00258,Permit: #12REV-00258,12-230; REVISION INCLUDES ADDED SCOPE OF WORK ~$11000 MASTER BATHROOM REMODEL ADDITIONAL SQUARE FOOTAGE ~35SF. INSTALL SLYLIGHTS IN HALLWAY ENTRY AND MASTER BATHROOM. FEES ADJUSTED ACCORDINGLY ON MAIN PERMIT.,
palo alto,— Permit,180 El Camino Real Suite 186,Mar 30 2012,Permit Issued,Permit Issued,11000-02098,Permit: #12REV-00193,REF PERMIT #11-2098: PROVIDE EXTERIOR UMBRELLA LIGHTING AND SECURITY BASE FOR UMBRELLA.,
palo alto,— Inspection,2339 Santa Catalina St,May 1 2014,Permit Issued,Approved,14000-00629,Permit: #14000-00727,GARAGE HEADER DAMAGE REPAIR LIKE FOR LIKE,
palo alto,— Inspection,2834 Kipling St,Jul 6 2012,Permit Issued,Approved,12000-01185,Permit: #12000-01185,RESIDENTIAL REROOF INSTALL CLASS "B" ROOFING ASSEMBLY WITH COMPOSITION.,
palo alto,— Permit,1630 Channing Av,Feb 28 2012,Permit Issued,Permit Issued,10000-01188,Permit: #12REV-00115,10-1188: ADDITION OF NON-LOAD BEARING WALL DIVIDING (E) LIVING ROOM INTO 2 ROOMS: LIVING ROOM AND OFFICE,
palo alto,— Inspection,635 Matadero Av,Aug 22 2012,Permit Issued,Approved,12000-00453,Permit: #12000-00453,ELECTRIC SERVICE UPGRADE TO 300 AMPS; APPROVED UTIL-00630,
palo alto,— Permit,1063 Amarillo Av,Aug 26 2014,Permit Issued,Permit Issued,14000-01443,Revision,14000-01443: RELOCATE GAS METER,
palo alto,— Permit,730 Arastradero Rd,Jan 4 2013,Permit Issued,Permit Issued,11000-01592,Permit: #13REV-00002,11000-01592: EXTERIOR AC UNIT FOR NEW TWO STORY HOME.,
palo alto,Plam Check,2200 El Camino Real,Apr 27 2016,Finaled,Not Required,16000-00076,Revision,16000-00076: REVISION ADDITION OF VENT RISER SCREENING,
palo alto,— Inspection,935 Industrial Av,Jun 18 2015,Permit Issued,Approved,14000-01969,Use & Occupancy only,U&O FOR "PALO ALTO BALLET" DANCE STUDIO TO OCCUPY ~ 5000SF ON GROUND FLOOR.,
palo alto,— Inspection,3745 La Selva Dr,Oct 22 2015,Finaled,Approved,15000-02399,Res Elect/Plbg/Mech only,RESIDENTIAL ELECTRIC SERVICE UPGRADE TO 200 AMPS. OVERHEAD SERVICE IS BEING RELOCATED 4-FEET AROUND THE CORNER.,
palo alto,— Permit,2465 South Ct,Feb 29 2012,Permit Issued,Permit Issued,12000-00451,Permit: #12REV-00122,12-451; REVISION INCLUDES REPLACEMENT LIKE FOR LIKE WATER DAMAGED WALL / STUCCO AT BATHROOM AREA.,
palo alto,— Inspection,911 Industrial Av,Apr 30 2012,Permit Issued,Approved,12000-00450,Permit: #12000-00793,RECONNECT ELECTRICAL SERVICE IN (E) LOCATION AFTER COPPER THEFT,
palo alto,— Permit,157 Lois Ln,Feb 4 2013,Permit Issued,Permit Issued,12000-00448,Permit: #12REV-00669,12-448: ADD EXTERIOR GAS FIREPLACE AND SEAT AT (E) BACK PORCH.,
palo alto,— Inspection,4117 El Camino Real,Mar 7 2012,Permit Issued,Partially approved,12000-00447,Permit: #12000-00447,REROOF: REMOVE TILE ON PITCHED ROOF AND INSTALL ASPHALT SHINGLES REMOVE AND REPLACE TAR & CAPSHEET ON FLAT ROOF (CLASS A 27 SQUARES).,
palo alto,— Inspection,3198 Waverley St,Mar 22 2012,Permit Issued,Approved,12000-00445,Permit: #12000-00445,INSTALL A 50 GALLON WATER HEATER TO REPLACE OLD ONE,
palo alto,— Inspection,788 Stern Av,May 4 2012,Permit Issued,Rescheduled,12000-00443,Permit: #12000-00443,RESIDENTIAL KITCHEN AND BATHROOM REMODEL,
palo alto,— Permit,4005 Ben Lomond Dr,Mar 7 2014,Permit Issued,Permit Issued,13000-03275,Permit: #13000-03275,MASTER BDRM SLIDING DOOR REPLACEMENT,
palo alto,— Inspection,4134 Donald Dr,Jul 10 2014,Permit Issued,Scheduled,14000-01708,Res Elect/Plbg/Mech only,RELOCATE A/C UNIT AND CHANGE OUT FURNACE IN GARAGE (SAME LOCATION),
palo alto,— Inspection,4170 Wallis Ct,Jan 10 2013,Permit Issued,Approved,13000-00053,Permit: #13000-00053,REPLACE FORCED AIR FURNACE. SAME LOCATION IN CLOSET.,
palo alto,Plam Check,445 Wilton Av,Mar 11 2013,Void,Not Approved - Not Ready,13000-00073,Permit: #13000-00073,CONVERTING DUPLEX TO SFR WHICH INCLUDES 471 SF ADDITION REMODEL OF EXISTING AND STRUCTURAL REROOF.,
palo alto,— Inspection,2380 Embarcadero Rd,Oct 9 2012,Permit Issued,Approved,12000-02000,Permit: #12000-02000,INSTALL BACKFLOW PREVENTOR. RECOMMENDATION: CALL BUILDING DEPARTMENT TO LOCATE DEVICE PRIOR TO INSTALLATION.,
palo alto,— Permit,855 El Camino Real Suite 121,May 6 2013,Permit Issued,Permit Issued,13000-00385,Permit: #13REV-00298,(REF PERMIT #13-385) CHANGE KITCHEN HOOD FROM TYPE I TO TYPE II,
palo alto,— Inspection,473 Jacobs Ct,May 20 2013,Permit Issued,Approved,13000-01246,Permit: #13000-01246,Replace water heater. Same size and location.,
palo alto,— Permit,370 California Av,Oct 9 2014,Permit Issued,Permit Issued,13000-00079,Revision,13000-00079: ACCESIBILITY DETAILS,
palo alto,— Inspection,1480 Middlefield Rd,Dec 19 2013,Permit Issued,Approved,13000-02842,Permit: #13000-02842,BATHROOM REMODEL ~60SF,
palo alto,— Inspection,4144 Park Bl,Nov 4 2013,Permit Issued,Rescheduled,13000-02855,Permit: #13000-02855,REWIRE RESIDENCE. INCLUDES ELECTRIC SERVICE UPGRADE TO 200 AMPS IN SAME LOCATION. RUN DEDICATED CIRCUIT TO GFCI IN BATHROOM. DEDICATED 220V REFRIGERATOR. HARDWIRE SMOKE DETECTORS.,
